images,heading,sub_heading,properties,model_link
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Platinum-Series.jpg&Size=46&UILanguageID=EN 960w, \/AttachmentImage.ashx?file=2025-Platinum-Series.jpg&Size=47&UILanguageID=EN 1440w"",""alt"":""Fishing Boats - Platinum Series (2025)""}]","Platinum Series","Feature highlights
						
Black anodized tempered glass windshield, with hidden frame and door
Simrad® NSX7 multifunction touch screen allowing instrumentation display, GPS functions, sonar, and downscan imaging
200-watt AM/FM/Bluetooth® Clarion Digital media center including an in-dash USB plug and 4 waterproof speakers with LED lights
77 L/20 U.S. gal. bow and 64 L/17 U.S. gal. stern ProFloMD Plus electric-filled aerated livewells
ACS system (Advanced Circulation System): air intake allowing airflow of the in-floor rod organizer","[""Black anodized tempered glass windshield, with hidden frame and door"",""Simrad\u00ae NSX7 multifunction touch screen allowing instrumentation display, GPS functions, sonar, and downscan imaging"",""200-watt AM\/FM\/Bluetooth\u00ae Clarion Digital media center including an in-dash USB plug and 4 waterproof speakers with LED lights"",""77 L\/20 U.S. gal. bow and 64 L\/17 U.S. gal. stern ProFloMD Plus electric-filled aerated livewells"",""ACS system (Advanced Circulation System): air intake allowing airflow of the in-floor rod organizer""]",https://www.princecraft.com/ca/en/products/Fishing-Boats/2025/Platinum-Series.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Sport-Series.jpg&Size=46&UILanguageID=EN 960w, \/AttachmentImage.ashx?file=2025-Sport-Series.jpg&Size=47&UILanguageID=EN 1440w"",""alt"":""Fishing Boats - Sport Series (2025)""}]","Sport Series","Feature highlights
						
Complete instrumentation: tachometer, speedometer, trim, and fuel gauges
Bow raised casting platform offering optional bow cushions
Stern telescopic boarding ladder
Deep-cycle battery storage under bow casting platform
Twin plating from bow to mid-ship
Rigging tube under flooring (from stern to helm and from helm to bow)
Splashwell extension","[""Complete instrumentation: tachometer, speedometer, trim, and fuel gauges"",""Bow raised casting platform offering optional bow cushions"",""Stern telescopic boarding ladder"",""Deep-cycle battery storage under bow casting platform"",""Twin plating from bow to mid-ship"",""Rigging tube under flooring (from stern to helm and from helm to bow)"",""Splashwell extension""]",https://www.princecraft.com/ca/en/products/Fishing-Boats/2025/Sport-Series.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Xpedition-Series.jpg&Size=46&UILanguageID=EN 960w, \/AttachmentImage.ashx?file=2025-Xpedition-Series.jpg&Size=47&UILanguageID=EN 1440w"",""alt"":""Fishing Boats - Xpedition\u00ae Series (2025)""}]","Xpedition® Series","Feature highlights
						
Large lockable rod organizer with tubes for 10 rods
ACS system (Advanced Circulation System): air intake allowing air flow into the two large storage compartments and rod organizer (bow platform)
64 L/17 U.S. gal. bow and 77 L/20 U.S. gal. stern isolated ProFloTM Plus electric-filled aerated livewells
PrinceTrak system: extrusion allowing onboard tool fixing
Rigging tube under flooring (from stern to console and from console to bow)
12V, 24V or 36V bow trolling motor plug and wiring harness","[""Large lockable rod organizer with tubes for 10 rods"",""ACS system (Advanced Circulation System): air intake allowing air flow into the two large storage compartments and rod organizer (bow platform)"",""64 L\/17 U.S. gal. bow and 77 L\/20 U.S. gal. stern isolated ProFloTM Plus electric-filled aerated livewells"",""PrinceTrak system: extrusion allowing onboard tool fixing"",""Rigging tube under flooring (from stern to console and from console to bow)"",""12V, 24V or 36V bow trolling motor plug and wiring harness""]",https://www.princecraft.com/ca/en/products/Fishing-Boats/2025/Xpedition-Series.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Hudson-Series.jpg&Size=46&UILanguageID=EN 960w, \/AttachmentImage.ashx?file=2025-Hudson-Series.jpg&Size=47&UILanguageID=EN 1440w"",""alt"":""Fishing Boats - Hudson\u00ae Series (2025)""}]","Hudson® Series","Feature highlights
						
Reverse chine hull design
Bow and aft raised casting platforms with storage
12V or 24V bow trolling motor plug and receptable with wiring harness
Large lockable rod organizer with tubes for 10 rods
2 folding seats
Deep self-draining splashwell
Twin plating from bow to mid-ship
PrinceTrak system: extrusion allowing onboard tool fixing","[""Reverse chine hull design"",""Bow and aft raised casting platforms with storage"",""12V or 24V bow trolling motor plug and receptable with wiring harness"",""Large lockable rod organizer with tubes for 10 rods"",""2 folding seats"",""Deep self-draining splashwell"",""Twin plating from bow to mid-ship"",""PrinceTrak system: extrusion allowing onboard tool fixing""]",https://www.princecraft.com/ca/en/products/Fishing-Boats/2025/Hudson-Series.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Holiday-Series.jpg&Size=46&UILanguageID=EN 960w, \/AttachmentImage.ashx?file=2025-Holiday-Series.jpg&Size=47&UILanguageID=EN 1440w"",""alt"":""Fishing Boats - Holiday\u00ae Series (2025)""}]","Holiday® Series","Feature highlights
						
Reverse chine hull design
Bow and aft raised casting platforms with storage
Black anodized walk-thru tempered glass windshield with door
Twin console with No-FeedBackTM steering system
12V bow trolling motor plug and receptacle with wiring harness
Complete instrumentation: tachometer, speedometer, trim, and fuel gauges
61 L/16 U.S. gal. bow SportFloTM electric-filled aerated livewell
Rigging tube under flooring (from stern to helm and from helm to bow)
Bow mounting trolling motor pad","[""Reverse chine hull design"",""Bow and aft raised casting platforms with storage"",""Black anodized walk-thru tempered glass windshield with door"",""Twin console with No-FeedBackTM steering system"",""12V bow trolling motor plug and receptacle with wiring harness"",""Complete instrumentation: tachometer, speedometer, trim, and fuel gauges"",""61 L\/16 U.S. gal. bow SportFloTM electric-filled aerated livewell"",""Rigging tube under flooring (from stern to helm and from helm to bow)"",""Bow mounting trolling motor pad""]",https://www.princecraft.com/ca/en/products/Fishing-Boats/2025/Holiday-Series.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Amarok-Series.jpg&Size=46&UILanguageID=EN 960w, \/AttachmentImage.ashx?file=2025-Amarok-Series.jpg&Size=47&UILanguageID=EN 1440w"",""alt"":""Fishing Boats - Amarok series (2025)""}]","Amarok series","Feature highlights
						
Reverse chine hull design
Bow and aft raised casting platforms with storage
Twin plating from bow to mid-ship
61 L/16 U.S. gal. bow SportFloTM electric-filled aerated livewell
Rod holders, passenger side
In-floor lockable rod organizer for 5 rods
PrinceTrak system: extrusion allowing onboard tool fixing","[""Reverse chine hull design"",""Bow and aft raised casting platforms with storage"",""Twin plating from bow to mid-ship"",""61 L\/16 U.S. gal. bow SportFloTM electric-filled aerated livewell"",""Rod holders, passenger side"",""In-floor lockable rod organizer for 5 rods"",""PrinceTrak system: extrusion allowing onboard tool fixing""]",https://www.princecraft.com/ca/en/products/Fishing-Boats/2025/Amarok-series.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Resorter-Series.jpg&Size=46&UILanguageID=EN 960w, \/AttachmentImage.ashx?file=2025-Resorter-Series.jpg&Size=47&UILanguageID=EN 1440w"",""alt"":""Fishing Boats - Resorter\u00ae Series (2025)""}]","Resorter® Series","Feature highlights
						
Reverse chine hull design
49 L/13 U.S. gal. side SportFloTM electric-filled aerated livewell
7 foot rod storages without support
2 folding seats
Full-width self-draining splashwell
Storage under bow deck
4 floor seat bases","[""Reverse chine hull design"",""49 L\/13 U.S. gal. side SportFloTM electric-filled aerated livewell"",""7 foot rod storages without support"",""2 folding seats"",""Full-width self-draining splashwell"",""Storage under bow deck"",""4 floor seat bases""]",https://www.princecraft.com/ca/en/products/Fishing-Boats/2025/Resorter-Series.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Utilities-Series.jpg&Size=46&UILanguageID=EN 960w, \/AttachmentImage.ashx?file=2025-Utilities-Series.jpg&Size=47&UILanguageID=EN 1440w"",""alt"":""Fishing Boats - Utilities (2025)""}]",Utilities,"Feature highlights
						
Exterior urethane paint, with a glossy finish, with decal package
Non-skid anti-glare interior paint finish
Parallel seats at stern (except Scamper 14 & Seasprite 12)
Durable ribbed polyethylene seat covering on most models","[""Exterior urethane paint, with a glossy finish, with decal package"",""Non-skid anti-glare interior paint finish"",""Parallel seats at stern (except Scamper 14 & Seasprite 12)"",""Durable ribbed polyethylene seat covering on most models""]",https://www.princecraft.com/ca/en/products/Fishing-Boats/2025/Utilities.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2024-Jon-Boats-Series.jpg&Size=46&UILanguageID=EN 960w, \/AttachmentImage.ashx?file=2024-Jon-Boats-Series.jpg&Size=47&UILanguageID=EN 1440w"",""alt"":""Fishing Boats - Jon Boats (2025)""}]","Jon Boats",,[],https://www.princecraft.com/ca/en/products/Fishing-Boats/2025/Jon-Boats.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2024-Vogue-Series.jpg&Size=46&UILanguageID=EN 960w, \/AttachmentImage.ashx?file=2024-Vogue-Series.jpg&Size=47&UILanguageID=EN 1440w"",""alt"":""Pontoon Boats - Vogue\u00ae Series (2025)""}]","Vogue® Series","Feature highlights
						
Simrad® NSX7 multifunction touch screen allowing instrumentation display, GPS functions, and sonar
AM/FM/Bluetooth® KMC100 Kicker® Stereo with integrated USB plug and auxiliary input in console, including 6 waterproof speakers
Black folding pedestal mount removable table with cup holders
Cup holder inserts with USB plug in the padding
Extra large stern swim platform, including a large telescopic stainless steel boarding ladder
Sensation grey vinyl (Sensation Wicker)
4 stainless steel recessed cleats
Performance Configuration: 3rd log, under-deck spray shield, lifting strakes, 49 U.S. gal. / 185 L gas tank and in-floor storage compartment (Except Vogue 23 RL)","[""Simrad\u00ae NSX7 multifunction touch screen allowing instrumentation display, GPS functions, and sonar"",""AM\/FM\/Bluetooth\u00ae KMC100 Kicker\u00ae Stereo with integrated USB plug and auxiliary input in console, including 6 waterproof speakers"",""Black folding pedestal mount removable table with cup holders"",""Cup holder inserts with USB plug in the padding"",""Extra large stern swim platform, including a large telescopic stainless steel boarding ladder"",""Sensation grey vinyl (Sensation Wicker)"",""4 stainless steel recessed cleats"",""Performance Configuration: 3rd log, under-deck spray shield, lifting strakes, 49 U.S. gal. \/ 185 L gas tank and in-floor storage compartment (Except Vogue\u00a023\u00a0RL)""]",https://www.princecraft.com/ca/en/products/Pontoons/2025/Vogue-Series.aspx
