heading,image
Speakers,"""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Speakers.jpg&Size=52&UILanguageID=EN"""
"Optional Concert package including controls for Jensen Stereo, horn, docking lights, and in-dash USB","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-SwitchPanelConcertPackage.jpg&Size=52&UILanguageID=EN"""
"Bow storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage-29102021-104222.jpg&Size=52&UILanguageID=EN"""
"Rotomolded helm console with Concert package","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-ConsoleOPTConcertPackage.jpg&Size=52&UILanguageID=EN"""
"Fishing seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FishingSeats-29102021-105623.jpg&Size=52&UILanguageID=EN"""
"Front lounger","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontLounger-29102021-102533.jpg&Size=52&UILanguageID=EN"""
"In-floor storage for propulsion batteries","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-InfloorBatteryStorage.jpg&Size=52&UILanguageID=EN"""
"Stern boarding ladder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Ladder-29102021-104804.jpg&Size=52&UILanguageID=EN"""
"Storage under all lounges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-StorageUnderBenches.jpg&Size=52&UILanguageID=EN"""
"Storage under console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-StorageUnderConsole-29102021-102738.jpg&Size=52&UILanguageID=EN"""
