heading,image
"
					
						
						A $399 value
						
						
					
					Tilt steering with slider for captain's chair
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/glissiere_siege_conducteur.jpg?v=2023-07"""
"
					
						
						A $699 value
						
						
					
					160-watt AM/FM/Bluetooth Jensen Stereo with 2 speakers
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/radio_jensen.jpg?v=2023-07"""
"
					
						
						A $1,750 value
						
						
					
					Trailer cover
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/housse_remorquage.jpg?v=2023-07"""
"
					
						
						A $299 value
						
						
					
					Swing tongue for trailer
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/pole_pliante.jpg?v=2023-07"""
"
					
						
						A $399 value
						
						
					
					Electric motor plug
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/prise_moteur.jpg?v=2023-07"""
"
					
						
						A $157 value
						
						
					
					Emergency ladder
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/echelle_urgence.jpg?v=2023-07"""
"Storage compartments under the bow platform and 61 L/16 U.S. gal. electric-filled aerated livewell","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage-15102020-140627.jpg&Size=52&UILanguageID=EN"""
"Driver console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-15102020-140835.jpg&Size=52&UILanguageID=EN"""
"Emergency reboarding ladder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-EmergencyLadder-15102020-140938.jpg&Size=52&UILanguageID=EN"""
"Passenger console with glove box","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerConsole-15102020-141334.jpg&Size=52&UILanguageID=EN"""
"Lockable storage compartment on passenger side","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerSideStorage.jpg&Size=52&UILanguageID=EN"""
"Portable gas tank","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PortableGazTank-15102020-141714.jpg&Size=52&UILanguageID=EN"""
"160-watt AM/FM/Bluetooth Jensen Radio","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Radio.jpg&Size=52&UILanguageID=EN"""
"Stern battery storage compartment","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearStorage-15102020-142019.jpg&Size=52&UILanguageID=EN"""
"Storage under driver console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Storageunderconsole-15102020-142251.jpg&Size=52&UILanguageID=EN"""
"Trolling motor plug","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-TrollingMotorPlug-22102018-135636.jpg&Size=52&UILanguageID=EN"""
