heading,image
"Optional 160-watt AM/FM/Bluetooth Jensen Stereo with integrated auxiliary input (1/8'') in console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Radio.jpg&Size=52&UILanguageID=EN"""
"2 folding seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2Fishingseats-22102024-092046.jpg&Size=52&UILanguageID=EN"""
"Instrumentation: tachometer, speed, trim, and fuel gauges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-4Gauges.jpg&Size=52&UILanguageID=EN"""
"Battery storage (batteries not included)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-Batterynotincluded--04102019-103847.jpg&Size=52&UILanguageID=EN"""
"Bow raised casting platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowFishingPlatform.jpg&Size=52&UILanguageID=EN"""
"Storage under bow raised fishing platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage.jpg&Size=52&UILanguageID=EN"""
"Passenger console with glove box","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GloveBox-22102024-092409.jpg&Size=52&UILanguageID=EN"""
"Driver helm shown with Humminbird® Helix 5 on RAM bracket","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Helm-OPTsonar-.jpg&Size=52&UILanguageID=EN"""
"Large lockable rod organizer with tubes for 10 rods in the bow casting platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-BowPlatform-.jpg&Size=52&UILanguageID=EN"""
"Stern electric-filled aerated livewell (61 L/16 U.S.gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLivewell-04102019-105459.jpg&Size=52&UILanguageID=EN"""
