heading,image
"Battery storage compartment","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-22102018-160724.jpg&Size=52&UILanguageID=EN"""
"Carling switch panel with fuel gauge","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Controls-GasGauge.jpg&Size=52&UILanguageID=EN"""
"Emergency boarding ladder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-EmergencyLadder-07102019-093426.jpg&Size=52&UILanguageID=EN"""
"Bow raised fishing platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontFishingPlatform-22102018-161406.jpg&Size=52&UILanguageID=EN"""
"Storage under bow casting platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontFishingPlatformStorage.jpg&Size=52&UILanguageID=EN"""
"Quick rod storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-QuickRodStorage.jpg&Size=52&UILanguageID=EN"""
"Large lockable rod organizer with tubes for rods in the bow casting platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-BowPlatform--22102018-162125.jpg&Size=52&UILanguageID=EN"""
"Stern electric-filled aerated livewell (77 L / 20 U.S. gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLivewell-22102018-162228.jpg&Size=52&UILanguageID=EN"""
"Battery storage compartment including 12V or 24V bow trolling motor plug and receptacles with wiring harness","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-TrollingMotorBatteryStorage-22102018-162501.jpg&Size=52&UILanguageID=EN"""
"Trolling motor plug and anchor storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-TrollingMotorPlug-AnchorStorage.jpg&Size=52&UILanguageID=EN"""
