heading,image
"Optional head, including holding tank and pump out system","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Toilet-05102022-113942.jpg&Size=52&UILanguageID=EN"""
"Bow electric-filled aerated livewell (77 L/20 U.S. gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowLivewell-15102020-145439.jpg&Size=52&UILanguageID=EN"""
"Driver helm (shown with optional multifunction Simrad® NSX9 - right screen)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-05102022-130809.jpg&Size=52&UILanguageID=EN"""
"Passenger console with glove box and storage under with extensible cargo net","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GloveBox-15102020-151310.jpg&Size=52&UILanguageID=EN"""
"2 stern fold-down jump seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearJumpSeat-05102022-131910.jpg&Size=52&UILanguageID=EN"""
"Stern electric-filled aerated livewell (64 L/17 U.S. gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearLivewell-15102020-151740.jpg&Size=52&UILanguageID=EN"""
"Stern casting platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-ReatPlatform.jpg&Size=52&UILanguageID=EN"""
"2 deluxe convertible seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Seat-15102020-153642.jpg&Size=52&UILanguageID=EN"""
"Lockable storage compartment in side panels","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideStorage-05102022-134141.jpg&Size=52&UILanguageID=EN"""
"Chrome handle integrated to the windshield","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-WindshieldHandle.jpg&Size=52&UILanguageID=EN"""
