heading,image
"Elegance snack table","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-EleganceTable.jpg&Size=52&UILanguageID=EN"""
"Driver helm shown with optional Kicker radio system","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-01112021-102734.jpg&Size=52&UILanguageID=EN"""
"Driver helm storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-ConsoleDoor-01112021-102816.jpg&Size=52&UILanguageID=EN"""
"Cup holders and USB plugs","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-CupHolders-01112021-102916.jpg&Size=52&UILanguageID=EN"""
"LED docking light","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DockingLights-01112021-105450.jpg&Size=52&UILanguageID=EN"""
"Standard gauges including a GPS speedometer","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Gauges-01112021-105547.jpg&Size=52&UILanguageID=EN"""
"Glove box integrated in the driver helm","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Glovebox-22102024-104403.jpg&Size=52&UILanguageID=EN"""
"Passenger captain seat on slide and swivel","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerCaptainChair-22102024-104500.jpg&Size=52&UILanguageID=EN"""
"Stern lounger","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLounger.jpg&Size=52&UILanguageID=EN"""
"Telescopic stainless steel ladder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-TelescopicLadder.jpg&Size=52&UILanguageID=EN"""
