heading,image
"Battery storage compartment","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage2.jpg&Size=52&UILanguageID=EN"""
"Bow multiple storages","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage-27102021-150644.jpg&Size=52&UILanguageID=EN"""
"Emergency boarding ladder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-EmergencyLadder-07102019-093426.jpg&Size=52&UILanguageID=EN"""
"2 folding seats with no-pinch hinges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Fishingseat-22102024-093807.jpg&Size=52&UILanguageID=EN"""
"Bow storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontDeckStorage.jpg&Size=52&UILanguageID=EN"""
"Storage for gas tank","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GasStorage.jpg&Size=52&UILanguageID=EN"""
"Side livewell (34"", 49 L/13 U.S. gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideLivewell.jpg&Size=52&UILanguageID=EN"""
"Rod storage without support in side panels","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideRodStorage2-22102018-152510.jpg&Size=52&UILanguageID=EN"""
"Storage compartment","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideStorage-22102018-152816.jpg&Size=52&UILanguageID=EN"""
"Switch panel","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Switchpanel-27102021-162302.jpg&Size=52&UILanguageID=EN"""
