heading,image
"Optional full top","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Fulltop.jpg&Size=52&UILanguageID=EN"""
"Optional trailer cover","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Trailercover.jpg&Size=52&UILanguageID=EN"""
"Battery storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage2-05102022-104528.jpg&Size=52&UILanguageID=EN"""
"Bow multiple storages","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage-27102021-150644.jpg&Size=52&UILanguageID=EN"""
"Driver helm shown with optional sonar","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DriverHelm-OPT-Sonar-.jpg&Size=52&UILanguageID=EN"""
"2 folding seats with no-pinch hinges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Fishingseat-22102024-093807.jpg&Size=52&UILanguageID=EN"""
"Bow storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontDeckStorage.jpg&Size=52&UILanguageID=EN"""
"Storage for gas tank","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GasStorage.jpg&Size=52&UILanguageID=EN"""
"Side electric-filled aerated livewell (49 L / 13 U.S. gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideLivewell-05102022-110956.jpg&Size=52&UILanguageID=EN"""
"Rod storage without support in side panels","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideRodStorage2-22102018-152510.jpg&Size=52&UILanguageID=EN"""
