heading,image
"
					
						
						A $399 value
						
						
					
					Tilt steering with slider for captain's chair
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/glissiere_siege_conducteur.jpg?v=2023-07"""
"
					
						
						A $699 value
						
						
					
					160-watt AM/FM/Bluetooth Jensen Stereo with 2 speakers
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/radio_jensen.jpg?v=2023-07"""
"
					
						
						A $1,090 value
						
						
					
					Removable ski pylon
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/mat_remorquage.jpg?v=2023-07"""
"
					
						
						A $1,104 value
						
						
					
					Bow rider seat cushions
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/coussins_proue.jpg?v=2024-10"""
"
					
						
						A $1,900 value
						
						
					
					Trailer cover
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/housse_remorquage.jpg?v=2023-07"""
"
					
						
						A $2,083 value
						
						
					
					Sun top with bimini canvas connected to windshield including the bimini structure (black)
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/auvent_bimini_sport.jpg?v=2023-07"""
"
					
						
						A $1,762 value
						
						
					
					RSP Combo: aft flip seats
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/combo_rsp.jpg?v=2024-10"""
"
					
						
						A $450 value
						
						
					
					Lockable glove box compartment
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/coffre_gants.jpg?v=2024-10"""
"
					
						
						A $275 value
						
						
					
					Stainless steel ladder
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/echelle_inox.jpg?v=2023-07"""
"
					
						
						A $299 value
						
						
					
					Swing tongue for trailer
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/pole_pliante.jpg?v=2023-07"""
"
					
						
						A $399 value
						
						
					
					Electric motor plug
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/prise_moteur.jpg?v=2023-07"""
"2 folding seats with no-pinch hinges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2Fishingseats-22102024-085120.jpg&Size=52&UILanguageID=EN"""
"Bow rider seat cushions","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Bowcushions-22102024-085218.jpg&Size=52&UILanguageID=EN"""
"Driver console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-15102020-143236.jpg&Size=52&UILanguageID=EN"""
"Passenger console with glove box and cup holder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerConsole-05102022-142756.jpg&Size=52&UILanguageID=EN"""
"In-floor lockable rod organizer for 4 rods","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-15102020-143627.jpg&Size=52&UILanguageID=EN"""
"Rear flip-up full-width including 2 fold-down seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RSPseats.jpg&Size=52&UILanguageID=EN"""
"Removable ski pylon","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SkiPilon-05102022-143343.jpg&Size=52&UILanguageID=EN"""
"Driver seat on slider","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SliderSeat-05102022-143525.jpg&Size=52&UILanguageID=EN"""
"Stern electric-filled aerated livewell (64 L / 17 U.S. gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLivewell-05102022-144042.jpg&Size=52&UILanguageID=EN"""
"Stern casting platform storage compartment","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternStorage-05102022-144842.jpg&Size=52&UILanguageID=EN"""
