heading,image
"Optional battery switch","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-BatterySwitch.jpg&Size=52&UILanguageID=EN"""
"Optional 160-watt AM/FM/Bluetooth Jensen Stereo with integrated auxiliary input (1/8'') in console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Radio-04102019-092547.jpg&Size=52&UILanguageID=EN"""
"2 folding seats with no-pinch hinges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2Fishingseats-22102024-085120.jpg&Size=52&UILanguageID=EN"""
"Bow Plaftorm","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowPlatform_182.jpg&Size=52&UILanguageID=EN"""
Cubby,"""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Cubby.jpg&Size=52&UILanguageID=EN"""
"Driver helm","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DriverConsole-22102024-085603.jpg&Size=52&UILanguageID=EN"""
"In-floor lockable rod organizer for 6 rods","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-In-FloorRodStorage-182.jpg&Size=52&UILanguageID=EN"""
"Extensible nets under consoles","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-NetUnderConsole.jpg&Size=52&UILanguageID=EN"""
"Stern electric-filled aerated livewell (77 L / 20 U.S. gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearLivewell-182.jpg&Size=52&UILanguageID=EN"""
"Side storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideStorage-04102019-094518.jpg&Size=52&UILanguageID=EN"""
