heading,image
"Optional LED docking light","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Dockinglights.jpg&Size=52&UILanguageID=EN"""
"Optional head with pump out system","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Head-22102024-133015.jpg&Size=52&UILanguageID=EN"""
"Optional lockable rods storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Lockablerodstorage.jpg&Size=52&UILanguageID=EN"""
"Optional snack table","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Snacktable-Moodpack-.jpg&Size=52&UILanguageID=EN"""
"Optional trolling motor installation package","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Trollingmotorpack-22102024-133251.jpg&Size=52&UILanguageID=EN"""
"Optional windscreen","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Windscreen-Moodpack--22102024-134642.jpg&Size=52&UILanguageID=EN"""
"4 standard gauges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-4Gauges-22102024-133326.jpg&Size=52&UILanguageID=EN"""
"Standard fishing station","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Fishingstation-22102024-133405.jpg&Size=52&UILanguageID=EN"""
"Fishing station with an integrated electric-filled livewell (83 L / 22 gal. U.S.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Livewell-22102024-133443.jpg&Size=52&UILanguageID=EN"""
"USB plugs built-in the fishing station","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-USBplugs.jpg&Size=52&UILanguageID=EN"""
