heading,image
"Stern fishing seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2Fishingrearseats.jpg&Size=52&UILanguageID=EN"""
"Battery Storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-18102023-091540.jpg&Size=52&UILanguageID=EN"""
"Bow lounger","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowLounger-18102023-093521.jpg&Size=52&UILanguageID=EN"""
"Driver helm shown with optional sonar","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-01112021-110352.jpg&Size=52&UILanguageID=EN"""
"LED docking light","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DockingLights-01112021-105450.jpg&Size=52&UILanguageID=EN"""
"Fishing station with an integrated electric-filled livewell (49 L / 13 gal. U.S.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FishingStation-01112021-110637.jpg&Size=52&UILanguageID=EN"""
"Standard gauges including a GPS speedometer","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Gauges-01112021-105547.jpg&Size=52&UILanguageID=EN"""
"Elegance Table","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-LBenchEleganceTable.jpg&Size=52&UILanguageID=EN"""
"Lockable rod storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-01112021-110241.jpg&Size=52&UILanguageID=EN"""
"Trolling motor battery storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-TrollingMotorBatteryStorage-01112021-110737.jpg&Size=52&UILanguageID=EN"""
