heading,image
"LED docking lights","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Dockinglights-12102023-152944.jpg&Size=52&UILanguageID=EN"""
"Glove box - Mood package","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-GloveBox-moodPack-.jpg&Size=52&UILanguageID=EN"""
"Battery storage with optional battery switch","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-OPT-BatterySwitch-.jpg&Size=52&UILanguageID=EN"""
"Cup holders","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-CupHolders-16102023-144406.jpg&Size=52&UILanguageID=EN"""
"Helm pin tray","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Helm-Pintray-.jpg&Size=52&UILanguageID=EN"""
"Plush and heavy weight upholstery","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Lseatingarea.jpg&Size=52&UILanguageID=EN"""
"Portable Gas Tank","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PortableGasTank-16102023-143733.jpg&Size=52&UILanguageID=EN"""
"Stern telescopic stainless steel boarding ladder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Stainlesssteelladder-16102023-143916.jpg&Size=52&UILanguageID=EN"""
"Storage under lounges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Storages3.jpg&Size=52&UILanguageID=EN"""
"Rear padded sundeck","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Sundeck-Lmodels-.jpg&Size=52&UILanguageID=EN"""
