heading,image
"Optional bow snack table (Mood package)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Bowtable-moodPack-3.jpg&Size=52&UILanguageID=EN"""
"Optional deluxe driver seat","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-DriverCaptainChair.jpg&Size=52&UILanguageID=EN"""
"Optional safety railing added to rear section","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Safetyrailing-01122023-105631.jpg&Size=52&UILanguageID=EN"""
"Optional multifunctions Simrad® NSX7 screen with instrumentation","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-SimradGo7-01122023-110519.jpg&Size=52&UILanguageID=EN"""
"Dashboard with 4 gauges and open storage compartment","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-4gauges-openstorage.jpg&Size=52&UILanguageID=EN"""
"Walk-thru tempered glass windshield","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FullWS.jpg&Size=52&UILanguageID=EN"""
"Passenger bench seat, with backrest that folds up to create a passenger seat","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerSeat-1-.jpg&Size=52&UILanguageID=EN"""
"Removable passenger seat section with cup holder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerSeat-2-.jpg&Size=52&UILanguageID=EN"""
"Molded dash panel with radio, toggle switches and optional wireless cell phone charger (Mood package) ","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RadioandToggleswitch-OPT-WirelessChargerMOODPACK-.jpg&Size=52&UILanguageID=EN"""
"Stern telescopic stainless steel boarding ladder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Stainlesssteelladder-16102023-143916.jpg&Size=52&UILanguageID=EN"""
