heading,image
"Optional removable privacy enclosure","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-ChangingRoom.jpg&Size=52&UILanguageID=EN"""
"Battery storage (battery not included)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-BatteryNotIncluded--16102020-101521.jpg&Size=52&UILanguageID=EN"""
"Driver helm","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Driverconsole-17102018-101500.jpg&Size=52&UILanguageID=EN"""
"Bow folding fishing seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Fishingseat-17102018-101903.jpg&Size=52&UILanguageID=EN"""
"Lockable in-floor storage compartment","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FloorRodStorage.jpg&Size=52&UILanguageID=EN"""
"Built-in floor cooler","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-IceBox.jpg&Size=52&UILanguageID=EN"""
"""L"" seating area at the back, with table","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-LBenchWithTable_194.jpg&Size=52&UILanguageID=EN"""
"In-floor rear storage compartment","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearStorage.jpg&Size=52&UILanguageID=EN"""
"Stern electric-filled aerated livewell (77 L/20 U.S.gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLivewell-03102019-150835.jpg&Size=52&UILanguageID=EN"""
"Storage under all lounges","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-UnderseatStorage-17102018-103324.jpg&Size=52&UILanguageID=EN"""
