heading,image
"12V refrigerator and battery charger","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Refrigerator12V.jpg&Size=52&UILanguageID=EN"""
"Bow lounger (Sport Edition option)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Bowlounger-OPT-SportEdition-.jpg&Size=52&UILanguageID=EN"""
"Driver helm shown with optional Simrad® NSX9 multifunctions and high power stereo system screen","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-OPT-highpowerStereo-.jpg&Size=52&UILanguageID=EN"""
"Lounger cup holders with USB ports integrated into furniture","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-CupholderswithUSB.jpg&Size=52&UILanguageID=EN"""
"LED docking lights","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Dockinglights-06102022-112430.jpg&Size=52&UILanguageID=EN"""
"Black folding pedestal mount removable table with cup holders","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Foldingtable-06102022-143358.jpg&Size=52&UILanguageID=EN"""
"Reclining passenger captain seat (Sport Edition option)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerCaptainChair-OPT-SportEdition-.jpg&Size=52&UILanguageID=EN"""
"Pop-up privacy Enclosure","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PrivacyEnclosure-18102023-155436.jpg&Size=52&UILanguageID=EN"""
"Automotive-style raised helm","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Raisedhelm.jpg&Size=52&UILanguageID=EN"""
"XT model rear section with black stainless steel ski tow bar","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-VogueXT-SkiBar-06102022-112837.jpg&Size=52&UILanguageID=EN"""
