heading,image
"Optional RSP Combo: Removable aft flip seats and 2 cup holders","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-ComboRSP-22102024-091533.jpg&Size=52&UILanguageID=EN"""
"Optional 160-watt AM/FM/Bluetooth Jensen Stereo with integrated auxiliary input (1/8'') in console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Radio.jpg&Size=52&UILanguageID=EN"""
"Optional deluxe folding seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Seatupgrade-withExtremefishingpackage-.jpg&Size=52&UILanguageID=EN"""
"Stern electric-filled aerated livewell (77 L / 20 U.S. gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowLivewell-22102018-115809.jpg&Size=52&UILanguageID=EN"""
"Storage under the bow casting platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage-04102019-090850.jpg&Size=52&UILanguageID=EN"""
"Driver helm shown with in-dash Humminbird® Helix 7","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-ConsoleWithOptionalIntegratedSonar-28102021-144705.jpg&Size=52&UILanguageID=EN"""
"Drawer(s) under console(s)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DrawerUnderConsoles.jpg&Size=52&UILanguageID=EN"""
"Passenger console with glove box","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerConsole-28102021-144845.jpg&Size=52&UILanguageID=EN"""
"Large lockable rod organizer with tubes for 10 rods","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-FishingPlatform-.jpg&Size=52&UILanguageID=EN"""
"Stern electric-filled aerated livewell (77 L/20 U.S. gal.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLivewell_170.jpg&Size=52&UILanguageID=EN"""
