images,heading,sub_heading,properties,model_link
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Platinum-Series.jpg&Size=46&UILanguageID=FR 960w, \/AttachmentImage.ashx?file=2025-Platinum-Series.jpg&Size=47&UILanguageID=FR 1440w"",""alt"":""Bateaux de p\u00eache - S\u00e9rie Platinum (2025)""}]","Série Platinum","Principales caractéristiques
						
Pare-brise anodisé de couleur noire, avec cadre dissimulé, en verre de sûreté avec porte
Écran tactile multifonctions Simrad® NSX7 permettant l’affichage de l'instrumentation, les fonctions GPS, sonar et sonde à balayage vertical
Système média Clarion AM/FM/Bluetooth® de 200 watts incluant une prise USB intégrée à la console et 4 haut-parleurs étanches avec lumières à DEL
Viviers avant (77 L/20 gal. U.S.) et arrière (64 L/17 gal. U.S.) ProFloMD Plus avec système d’oxygénation
Système ACS (Advanced Circulation System) permettant l’entrée d’air dans le rangement pour cannes à pêche dans le plancher","[""Pare-brise anodis\u00e9 de couleur noire, avec cadre dissimul\u00e9, en verre de s\u00fbret\u00e9 avec porte"",""\u00c9cran tactile multifonctions Simrad\u00ae NSX7 permettant l\u2019affichage de l'instrumentation, les fonctions GPS, sonar et sonde \u00e0 balayage vertical"",""Syst\u00e8me m\u00e9dia Clarion AM\/FM\/Bluetooth\u00ae de 200 watts incluant une prise USB int\u00e9gr\u00e9e \u00e0 la console et 4 haut-parleurs \u00e9tanches avec lumi\u00e8res \u00e0 DEL"",""Viviers avant (77 L\/20 gal. U.S.) et arri\u00e8re (64 L\/17 gal. U.S.) ProFloMD Plus avec syst\u00e8me d\u2019oxyg\u00e9nation"",""Syst\u00e8me ACS (Advanced Circulation System) permettant l\u2019entr\u00e9e d\u2019air dans le rangement pour cannes \u00e0 p\u00eache dans le plancher""]",https://www.princecraft.com/ca/fr/produits/Bateaux-de-peche/2025/Serie-Platinum.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Sport-Series.jpg&Size=46&UILanguageID=FR 960w, \/AttachmentImage.ashx?file=2025-Sport-Series.jpg&Size=47&UILanguageID=FR 1440w"",""alt"":""Bateaux de p\u00eache - S\u00e9rie Sport (2025)""}]","Série Sport","Principales caractéristiques
						
Instrumentation complète : tachymètre, indicateurs de vitesse, de réglage d’assiette et de niveau d’essence
Plate-forme de pêche surélevée à l’avant en coussins de proue offert en option
Échelle arrière télescopique
Rangement pour batterie à cycle prolongé sous la plate-forme de pêche avant
Fond doublé de l'avant au milieu du bateau
Tube de câblage pour filage supplémentaire (de l'arrière à la console et de la console à l'avant)
Extension sur boîte à eau","[""Instrumentation compl\u00e8te : tachym\u00e8tre, indicateurs de vitesse, de r\u00e9glage d\u2019assiette et de niveau d\u2019essence"",""Plate-forme de p\u00eache sur\u00e9lev\u00e9e \u00e0 l\u2019avant en coussins de proue offert en option"",""\u00c9chelle arri\u00e8re t\u00e9lescopique"",""Rangement pour batterie \u00e0 cycle prolong\u00e9 sous la plate-forme de p\u00eache avant"",""Fond doubl\u00e9 de l'avant au milieu du bateau"",""Tube de c\u00e2blage pour filage suppl\u00e9mentaire (de l'arri\u00e8re \u00e0 la console et de la console \u00e0 l'avant)"",""Extension sur bo\u00eete \u00e0 eau""]",https://www.princecraft.com/ca/fr/produits/Bateaux-de-peche/2025/Serie-Sport.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Xpedition-Series.jpg&Size=46&UILanguageID=FR 960w, \/AttachmentImage.ashx?file=2025-Xpedition-Series.jpg&Size=47&UILanguageID=FR 1440w"",""alt"":""Bateaux de p\u00eache - S\u00e9rie Xp\u00e9dition\u00ae (2025)""}]","Série Xpédition®","Principales caractéristiques
						
Grand rangement verrouillable avec tubes pour 10 cannes à pêche dans le plancher
Système ACS (Advanced Circulation System) permettant l’entrée d’air dans les deux grands compartiments de rangement et du rangement pour cannes à pêche (plate-forme avant)
Viviers isolés avant (64 L/17 gal. U.S.) et arrière (77 L/20 gal. U.S.) ProFloMD Plus avec système d’oxygénation
Système PrinceTrak : extrusion permettant la fixation d’outils à bord
Tubes de câblage pour filage supplémentaire (de l’arrière à la console et de la console à l’avant)
Fiche et prise pour moteur électrique 12 V, 24 V ou 36 V avec câblage","[""Grand rangement verrouillable avec tubes pour 10 cannes \u00e0 p\u00eache dans le plancher"",""Syst\u00e8me ACS (Advanced Circulation System) permettant l\u2019entr\u00e9e d\u2019air dans les deux grands compartiments de rangement et du rangement pour cannes \u00e0 p\u00eache (plate-forme avant)"",""Viviers isol\u00e9s avant (64 L\/17 gal. U.S.) et arri\u00e8re (77 L\/20 gal. U.S.) ProFloMD Plus avec syst\u00e8me d\u2019oxyg\u00e9nation"",""Syst\u00e8me PrinceTrak : extrusion permettant la fixation d\u2019outils \u00e0 bord"",""Tubes de c\u00e2blage pour filage suppl\u00e9mentaire (de l\u2019arri\u00e8re \u00e0 la console et de la console \u00e0 l\u2019avant)"",""Fiche et prise pour moteur \u00e9lectrique 12 V, 24 V ou 36 V avec c\u00e2blage""]",https://www.princecraft.com/ca/fr/produits/Bateaux-de-peche/2025/Serie-Xpedition.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Hudson-Series.jpg&Size=46&UILanguageID=FR 960w, \/AttachmentImage.ashx?file=2025-Hudson-Series.jpg&Size=47&UILanguageID=FR 1440w"",""alt"":""Bateaux de p\u00eache - S\u00e9rie Hudson\u00ae (2025)""}]","Série Hudson®","Principales caractéristiques
						
Coque à échine renversée
Plates-formes de pêche surélevées, à l’avant et à l’arrière, avec rangement
Fiche et prise pour moteur électrique 12 V ou 24 V avec câblage
Grand rangement verrouillable avec tubes pour cannes à pêche dans le plancher
2 sièges repliables
Puits à moteur profond autodrainant
Fond doublé de l'avant au milieu du bateau
Système PrinceTrak : extrusion permettant la fixation d’outils à bord","[""Coque \u00e0 \u00e9chine renvers\u00e9e"",""Plates-formes de p\u00eache sur\u00e9lev\u00e9es, \u00e0 l\u2019avant et \u00e0 l\u2019arri\u00e8re, avec rangement"",""Fiche et prise pour moteur \u00e9lectrique 12 V ou 24 V avec c\u00e2blage"",""Grand rangement verrouillable avec tubes pour cannes \u00e0 p\u00eache dans le plancher"",""2 si\u00e8ges repliables"",""Puits \u00e0 moteur profond autodrainant"",""Fond doubl\u00e9 de l'avant au milieu du bateau"",""Syst\u00e8me PrinceTrak : extrusion permettant la fixation d\u2019outils \u00e0 bord""]",https://www.princecraft.com/ca/fr/produits/Bateaux-de-peche/2025/Serie-Hudson.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Holiday-Series.jpg&Size=46&UILanguageID=FR 960w, \/AttachmentImage.ashx?file=2025-Holiday-Series.jpg&Size=47&UILanguageID=FR 1440w"",""alt"":""Bateaux de p\u00eache - S\u00e9rie Holiday\u00ae (2025)""}]","Série Holiday®","Principales caractéristiques
						
Coque à échine renversée
Plates-formes de pêche surélevées, à l’avant et à l’arrière, avec rangement
Pare-brise ouvrant au centre en verre de sûreté anodisé de couleur noire
Double console avec système de direction No-FeedBackMD
Fiche et prise pour moteur électrique 12 V avec câblage
Instrumentation complète : tachymètre, indicateurs de vitesse, de réglage d’assiette et de niveau d’essence
Vivier avant SportFloMD avec système d’oxygénation (61 L/16 gal. U.S.)
Tubes de câblage pour filage supplémentaire (de l’arrière à la console et de la console à l’avant)
Support de proue pour moteur électrique","[""Coque \u00e0 \u00e9chine renvers\u00e9e"",""Plates-formes de p\u00eache sur\u00e9lev\u00e9es, \u00e0 l\u2019avant et \u00e0 l\u2019arri\u00e8re, avec rangement"",""Pare-brise ouvrant au centre en verre de s\u00fbret\u00e9 anodis\u00e9 de couleur noire"",""Double console avec syst\u00e8me de direction No-FeedBackMD"",""Fiche et prise pour moteur \u00e9lectrique 12 V avec c\u00e2blage"",""Instrumentation compl\u00e8te : tachym\u00e8tre, indicateurs de vitesse, de r\u00e9glage d\u2019assiette et de niveau d\u2019essence"",""Vivier avant SportFloMD avec syst\u00e8me d\u2019oxyg\u00e9nation (61 L\/16 gal. U.S.)"",""Tubes de c\u00e2blage pour filage suppl\u00e9mentaire (de l\u2019arri\u00e8re \u00e0 la console et de la console \u00e0 l\u2019avant)"",""Support de proue pour moteur \u00e9lectrique""]",https://www.princecraft.com/ca/fr/produits/Bateaux-de-peche/2025/Serie-Holiday.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Amarok-Series.jpg&Size=46&UILanguageID=FR 960w, \/AttachmentImage.ashx?file=2025-Amarok-Series.jpg&Size=47&UILanguageID=FR 1440w"",""alt"":""Bateaux de p\u00eache - S\u00e9rie Amarok (2025)""}]","Série Amarok","Principales caractéristiques
						
Coque à échine renversée
Plates-formes de pêche surélevées, à l’avant et à l’arrière, avec rangement
Fond doublé de l'avant au milieu du bateau
Vivier avant SportFloMD avec système d’oxygénation (61 L/16 gal. U.S.)
Supports de cannes à pêche, côté passager
Rangement verrouillable pour 5 cannes à pêche dans le plancher
Système PrinceTrak : extrusion permettant la fixation d’outils à bord","[""Coque \u00e0 \u00e9chine renvers\u00e9e"",""Plates-formes de p\u00eache sur\u00e9lev\u00e9es, \u00e0 l\u2019avant et \u00e0 l\u2019arri\u00e8re, avec rangement"",""Fond doubl\u00e9 de l'avant au milieu du bateau"",""Vivier avant SportFloMD avec syst\u00e8me d\u2019oxyg\u00e9nation (61 L\/16 gal. U.S.)"",""Supports de cannes \u00e0 p\u00eache, c\u00f4t\u00e9 passager"",""Rangement verrouillable pour 5 cannes \u00e0 p\u00eache dans le plancher"",""Syst\u00e8me PrinceTrak : extrusion permettant la fixation d\u2019outils \u00e0 bord""]",https://www.princecraft.com/ca/fr/produits/Bateaux-de-peche/2025/Serie-Amarok.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Resorter-Series.jpg&Size=46&UILanguageID=FR 960w, \/AttachmentImage.ashx?file=2025-Resorter-Series.jpg&Size=47&UILanguageID=FR 1440w"",""alt"":""Bateaux de p\u00eache - S\u00e9rie Resorter\u00ae (2025)""}]","Série Resorter®","Principales caractéristiques
						
Coque à échine renversée
Vivier latéral SportFloMD avec système d’oxygénation (49 L/13 gal. U.S.)
Rangement verrouillable de 7' pour cannes à pêche, sans support
2 sièges repliables
Puits à moteur pleine largeur autodrainant
Rangement sous pont avant
4 bases de sièges","[""Coque \u00e0 \u00e9chine renvers\u00e9e"",""Vivier lat\u00e9ral SportFloMD avec syst\u00e8me d\u2019oxyg\u00e9nation (49 L\/13 gal. U.S.)"",""Rangement verrouillable de 7' pour cannes \u00e0 p\u00eache, sans support"",""2 si\u00e8ges repliables"",""Puits \u00e0 moteur pleine largeur autodrainant"",""Rangement sous pont avant"",""4 bases de si\u00e8ges""]",https://www.princecraft.com/ca/fr/produits/Bateaux-de-peche/2025/Serie-Resorter.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2025-Utilities-Series.jpg&Size=46&UILanguageID=FR 960w, \/AttachmentImage.ashx?file=2025-Utilities-Series.jpg&Size=47&UILanguageID=FR 1440w"",""alt"":""Bateaux de p\u00eache - Utilitaires (2025)""}]",Utilitaires,"Principales caractéristiques
						
Peinture extérieure uréthane, fini lustré, avec décalque décoratif
Peinture intérieure antidérapante et antireflet
Sièges parallèles à l’arrière (sauf Scamper 14 et Seasprite 12)
Recouvrement de bancs en polyéthylène texturé pour la plupart des modèles","[""Peinture ext\u00e9rieure ur\u00e9thane, fini lustr\u00e9, avec d\u00e9calque d\u00e9coratif"",""Peinture int\u00e9rieure antid\u00e9rapante et antireflet"",""Si\u00e8ges parall\u00e8les \u00e0 l\u2019arri\u00e8re (sauf Scamper 14 et Seasprite 12)"",""Recouvrement de bancs en poly\u00e9thyl\u00e8ne textur\u00e9 pour la plupart des mod\u00e8les""]",https://www.princecraft.com/ca/fr/produits/Bateaux-de-peche/2025/Utilitaires.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2024-Jon-Boats-Series.jpg&Size=46&UILanguageID=FR 960w, \/AttachmentImage.ashx?file=2024-Jon-Boats-Series.jpg&Size=47&UILanguageID=FR 1440w"",""alt"":""Bateaux de p\u00eache - Bateaux Jon (2025)""}]","Bateaux Jon",,[],https://www.princecraft.com/ca/fr/produits/Bateaux-de-peche/2025/Bateaux-Jon.aspx
"[{""srcset"":""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=2024-Vogue-Series.jpg&Size=46&UILanguageID=FR 960w, \/AttachmentImage.ashx?file=2024-Vogue-Series.jpg&Size=47&UILanguageID=FR 1440w"",""alt"":""Pontons - S\u00e9rie Vogue\u00ae (2025)""}]","Série Vogue®","Principales caractéristiques
						
Écran tactile multifonctions Simrad® NSX7 permettant l'affichage de l'instrumentation, les fonctions GPS et sonar
Radio Kicker® KMC100 AM/FM/Bluetooth® avec prise USB et prise auxiliaire (1/8'') à la console, incluant 6 haut-parleurs étanches
Table à goûter noire repliable sur poteau amovible, avec porte-verres
Insertions de porte-verres avec prise USB dans le rembourrage
Plate-forme de baignade surdimensionnée à l'arrière, incluant échelle télescopique en acier inoxydable de grande dimension
Plancher recouvert de vinyle Sensation gris (Sensation Wicker)
4 taquets rétractables en acier inoxydable
Configuration Performance : 3e flotteur, recouvrement d'aluminium sous le plancher, ailerons de performance, réservoir d'essence de 49 gal. U.S. / 185 L et 1 rangement dans le plancher (excepté Vogue 23 RL)","[""\u00c9cran tactile multifonctions Simrad\u00ae NSX7 permettant l'affichage de l'instrumentation, les fonctions GPS et sonar"",""Radio Kicker\u00ae KMC100 AM\/FM\/Bluetooth\u00ae avec prise USB et prise auxiliaire (1\/8'') \u00e0 la console, incluant 6 haut-parleurs \u00e9tanches"",""Table \u00e0 go\u00fbter noire repliable sur poteau amovible, avec porte-verres"",""Insertions de porte-verres avec prise USB dans le rembourrage"",""Plate-forme de baignade surdimensionn\u00e9e \u00e0 l'arri\u00e8re, incluant \u00e9chelle t\u00e9lescopique en acier inoxydable de grande dimension"",""Plancher recouvert de vinyle Sensation gris (Sensation Wicker)"",""4 taquets r\u00e9tractables en acier inoxydable"",""Configuration Performance : 3e flotteur, recouvrement d'aluminium sous le plancher, ailerons de performance, r\u00e9servoir d'essence de 49 gal. U.S. \/ 185 L et 1 rangement dans le plancher (except\u00e9 Vogue\u00a023\u00a0RL)""]",https://www.princecraft.com/ca/fr/produits/Pontons/2025/Serie-Vogue.aspx
