heading,image
"Coupe-batterie permettant la coupure complète du courant à bord","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-BatterySwitch-29102021-100259.jpg&Size=52&UILanguageID=FR"""
"Ensemble Concert offert en option, incluant les contrôles pour radio Jensen, klaxon, lumières d'accostage et prise usb","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-SwitchPanelConcertPackage.jpg&Size=52&UILanguageID=FR"""
"Contrôle de moteur Mercury® Avator®","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-AvatorControl.jpg&Size=52&UILanguageID=FR"""
"Centre de contrôle Mercury® affichant vitesse, chargement et plus standard avec les moteurs électriques Avator® ","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-AvatorControlMonitor.jpg&Size=52&UILanguageID=FR"""
"Console rotomoulée avec ensemble Concert","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-ConsoleOPTConcertPackage.jpg&Size=52&UILanguageID=FR"""
"Console conducteur avec l'option ensemble Concert","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DriverConsoleOPTConcertPackage.jpg&Size=52&UILanguageID=FR"""
"Chaise longue","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontLounger-29102021-102533.jpg&Size=52&UILanguageID=FR"""
"Rangement au plancher pour les batteries de propulsion","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-InfloorBatteryStorage.jpg&Size=52&UILanguageID=FR"""
"Rangement sous tous les fauteuils","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-StorageUnderBenches.jpg&Size=52&UILanguageID=FR"""
"Rangement sous la console conducteur avec filet","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-StorageUnderConsole-06102022-092916.jpg&Size=52&UILanguageID=FR"""
