heading,image
"
					
						Valeur de 399 $
						
						
						
					
					Volant inclinable et glissière pour siège conducteur
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/glissiere_siege_conducteur.jpg?v=2023-07"""
"
					
						Valeur de 699 $
						
						
						
					
					Radio Jensen de 160 W AM/FM/Bluetooth avec 2 haut-parleurs
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/radio_jensen.jpg?v=2023-07"""
"
					
						Valeur de 1 750 $
						
						
						
					
					Housse de remorquage
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/housse_remorquage.jpg?v=2023-07"""
"
					
						Valeur de 1 629 $
						
						
						
					
					Auvent bimini fixé au pare-brise incluant la structure (noir)
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/auvent_bimini_dlx.jpg?v=2023-07"""
"
					
						Valeur de 450 $
						
						
						
					
					Coffre à gants verrouillable sur la console passager
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/coffre_gants.jpg?v=2024-10"""
"
					
						Valeur de 299 $
						
						
						
					
					Pôle pliante pour la remorque
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/pole_pliante.jpg?v=2023-07"""
"
					
						Valeur de 399 $
						
						
						
					
					Prise pour moteur électrique
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/prise_moteur.jpg?v=2023-07"""
"
					
						Valeur de 157 $
						
						
						
					
					Échelle d'embarquement d'urgence
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/echelle_urgence.jpg?v=2023-07"""
"Compartiments de rangement dans la plate-forme avant et vivier électrique oxygéné de 61 L/16 gal. U.S.","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage-15102020-140627.jpg&Size=52&UILanguageID=FR"""
"Console conducteur","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-15102020-140835.jpg&Size=52&UILanguageID=FR"""
"Échelle d'embarquement d'urgence","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-EmergencyLadder-15102020-140938.jpg&Size=52&UILanguageID=FR"""
"Tachymètre, indicateurs de vitesse et de réglage d'assiette","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Gauges-15102020-141226.jpg&Size=52&UILanguageID=FR"""
"Console passager avec coffre à gants","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerConsole-15102020-141334.jpg&Size=52&UILanguageID=FR"""
"Rangement verrouillable, côté passager","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerSideStorage.jpg&Size=52&UILanguageID=FR"""
"Réservoir d'essence portatif","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PortableGazTank-15102020-141714.jpg&Size=52&UILanguageID=FR"""
"Radio Jensen de 160 watts AM/FM/Bluetooth","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Radio.jpg&Size=52&UILanguageID=FR"""
"Rangement pour batterie à l'arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearStorage-15102020-142019.jpg&Size=52&UILanguageID=FR"""
"Rangement sous la console conducteur","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Storageunderconsole-15102020-142251.jpg&Size=52&UILanguageID=FR"""
