heading,image
"Radio Jensen de 160 watts AM/FM/Bluetooth avec prise (1/8'') à la console, offerte en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Radio.jpg&Size=52&UILanguageID=FR"""
"2 sièges repliables","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2Fishingseats-22102024-092046.jpg&Size=52&UILanguageID=FR"""
"Instrumentation: tachymètre, indicateurs de vitesse, de réglage d'assiette et d'essence","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-4Gauges.jpg&Size=52&UILanguageID=FR"""
"Rangement pour batteries (batteries non incluses)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-Batterynotincluded--04102019-103847.jpg&Size=52&UILanguageID=FR"""
"Plate-forme de pêche surélevée à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowFishingPlatform.jpg&Size=52&UILanguageID=FR"""
"Rangement sous la plate-forme de pêche à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage.jpg&Size=52&UILanguageID=FR"""
"Console passager avec coffre à gants","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GloveBox-22102024-092409.jpg&Size=52&UILanguageID=FR"""
"Console conducteur démontrée avec Humminbird® Helix 5 sur bras RAM","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Helm-OPTsonar-.jpg&Size=52&UILanguageID=FR"""
"Grand compartiment verrouillable avec tubes pour 10 cannes à pêche dans la plate-forme à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-BowPlatform-.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné, de 61 L/16 gal. U.S., à l'arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLivewell-04102019-105459.jpg&Size=52&UILanguageID=FR"""
