heading,image
"Ensemble dînette incluant siège 2 positions avec glacière intégrée optionnelle","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-FlipflopStorage.jpg&Size=52&UILanguageID=FR"""
"Banquette à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowLounger-18102023-093521.jpg&Size=52&UILanguageID=FR"""
"Console conducteur démontrée avec radio Kicker optionnelle","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-01112021-102734.jpg&Size=52&UILanguageID=FR"""
"Porte de rangement dans la console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-ConsoleDoor-01112021-102816.jpg&Size=52&UILanguageID=FR"""
"lumières d'accostage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DockingLight.jpg&Size=52&UILanguageID=FR"""
"Cadrans standards avec indicateur de vitesse GPS","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Gauges-01112021-105547.jpg&Size=52&UILanguageID=FR"""
"Section RL en mode lit","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RLModuleBed.jpg&Size=52&UILanguageID=FR"""
"Table en similibois perle noire","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RLModuleTable.jpg&Size=52&UILanguageID=FR"""
"Échelle télescopique en acier inoxydable","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-TelescopicLadder.jpg&Size=52&UILanguageID=FR"""
"Port USB intégré ","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-USBinsert.jpg&Size=52&UILanguageID=FR"""
