heading,image
"Ensemble de coussins de proue optionnel","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Bowcushions.jpg&Size=52&UILanguageID=FR"""
"Lumière d'accostage DEL optionnelle (inclus dans l'ensemble technologie)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Dockinglight-technoPackage--22102024-084123.jpg&Size=52&UILanguageID=FR"""
"Radio Jensen optionnel (inclus dans l'ensemble technologie)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Radio-technopackage--22102024-084210.jpg&Size=52&UILanguageID=FR"""
"Coussin de poupe optionnel","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Sterncushion.jpg&Size=52&UILanguageID=FR"""
"Module de siège arrière incluant un vivier sous le siège optionnel","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Sternlivewellmodule.jpg&Size=52&UILanguageID=FR"""
"Échelle arrière télescopique","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Boardlingladder.jpg&Size=52&UILanguageID=FR"""
"Plateforme avant avec rangement et vivier","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Bowplatform-livewellcoolerstorage--22102024-084631.jpg&Size=52&UILanguageID=FR"""
"Console conducteur (démontré avec sonar en option)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Helm-OPT-indashsonar-.jpg&Size=52&UILanguageID=FR"""
"Rangement verrouillable pour 4 cannes à pêche dans le plancher","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-In-floorRodStorage-22102024-084838.jpg&Size=52&UILanguageID=FR"""
"Compartiments de rangement des 2 côtés","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Sidestorages.jpg&Size=52&UILanguageID=FR"""
