heading,image
"
					
						Valeur de 399 $
						
						
						
					
					Volant inclinable et glissière pour siège conducteur
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/glissiere_siege_conducteur.jpg?v=2023-07"""
"
					
						Valeur de 699 $
						
						
						
					
					Radio Jensen de 160 W AM/FM/Bluetooth avec 2 haut-parleurs
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/radio_jensen.jpg?v=2023-07"""
"
					
						Valeur de 1 090 $
						
						
						
					
					Mât de remorquage amovible pour skieurs
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/mat_remorquage.jpg?v=2023-07"""
"
					
						Valeur de 1 104&nbsp$
						
						
						
					
					Ensemble de coussins de proue
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/coussins_proue.jpg?v=2024-10"""
"
					
						Valeur de 1 900 $
						
						
						
					
					Housse de remorquage
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/housse_remorquage.jpg?v=2023-07"""
"
					
						Valeur de 2 083 $
						
						
						
					
					Auvent bimini fixé au pare-brise incluant la structure (noir)
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/auvent_bimini_sport.jpg?v=2023-07"""
"
					
						Valeur de 1 762 $
						
						
						
					
					Combo RSP : Module arrière incluant 2 sièges repliables
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/combo_rsp.jpg?v=2024-10"""
"
					
						Valeur de 450 $
						
						
						
					
					Coffre à gants verrouillable sur la console passager
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/coffre_gants.jpg?v=2024-10"""
"
					
						Valeur de 275 $
						
						
						
					
					Échelle en acier inoxydable
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/echelle_inox.jpg?v=2023-07"""
"
					
						Valeur de 299 $
						
						
						
					
					Pôle pliante pour la remorque
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/pole_pliante.jpg?v=2023-07"""
"
					
						Valeur de 399 $
						
						
						
					
					Prise pour moteur électrique
				","""https:\/\/www.princecraft.com\/medias\/communs\/max\/inserts\/prise_moteur.jpg?v=2023-07"""
"2 sièges repliables avec charnières protège-doigts","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2Fishingseats-22102024-085120.jpg&Size=52&UILanguageID=FR"""
"Ensemble de coussins de proue","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Bowcushions-22102024-085218.jpg&Size=52&UILanguageID=FR"""
"Console conducteur","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-15102020-143236.jpg&Size=52&UILanguageID=FR"""
"Console passager avec coffre à gants et porte-verre","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerConsole-05102022-142756.jpg&Size=52&UILanguageID=FR"""
"Rangement verrouillable pour 4 cannes à pêche dans le plancher","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-15102020-143627.jpg&Size=52&UILanguageID=FR"""
"Banquette arrière pleine largeur avec sièges d'appoint repliables","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RSPseats.jpg&Size=52&UILanguageID=FR"""
"Mât de remorquage amovible","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SkiPilon-05102022-143343.jpg&Size=52&UILanguageID=FR"""
"Siège conducteur sur glissière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SliderSeat-05102022-143525.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné arrière de 64 L / 17 gal. U.S.","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLivewell-05102022-144042.jpg&Size=52&UILanguageID=FR"""
"Compartiment de rangement, plate-forme de pêche arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternStorage-05102022-144842.jpg&Size=52&UILanguageID=FR"""
