heading,image
"Sièges de pêche arrières","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2Fishingrearseats.jpg&Size=52&UILanguageID=FR"""
"Rangement pour batterie","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-18102023-091540.jpg&Size=52&UILanguageID=FR"""
"Banquette à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowLounger-18102023-093521.jpg&Size=52&UILanguageID=FR"""
"Console conducteur avec sonar optionnel démontré","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-01112021-110352.jpg&Size=52&UILanguageID=FR"""
"Lumière d'accostage à DEL","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DockingLights-01112021-105450.jpg&Size=52&UILanguageID=FR"""
"Station de pêche avec vivier électrique intégré (49 L / 13 gal. U.S.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FishingStation-01112021-110637.jpg&Size=52&UILanguageID=FR"""
"Cadrans standards avec indicateur de vitesse GPS","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Gauges-01112021-105547.jpg&Size=52&UILanguageID=FR"""
"Table Élégance","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-LBenchEleganceTable.jpg&Size=52&UILanguageID=FR"""
"Rangement de cannes verouillables","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-01112021-110241.jpg&Size=52&UILanguageID=FR"""
"Rangement pour batterie de moteur électrique","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-TrollingMotorBatteryStorage-01112021-110737.jpg&Size=52&UILanguageID=FR"""
