heading,image
"Siège capitaine ""Bolster"", offert en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-BolsterDriverSeat.jpg&Size=52&UILanguageID=FR"""
"Rangement pour l'ancre dans la plate-forme avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-AnchorStorage-03102019-155835.jpg&Size=52&UILanguageID=FR"""
"Rangement pour batterie (batterie non incluse)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-BatteryNotIncluded2-.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné, de 77 L/20 gal. U.S., à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowLivewell-03102019-152159.jpg&Size=52&UILanguageID=FR"""
"Console conducteur","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Driverconsole-17102018-101500.jpg&Size=52&UILanguageID=FR"""
"Sièges de pêche repliables à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Fishingseat-17102018-101903.jpg&Size=52&UILanguageID=FR"""
"Coffre à gants dans la console conducteur","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GloveBox-17102018-102332.jpg&Size=52&UILanguageID=FR"""
"Glacière encastrée dans le plancher","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-IceBox.jpg&Size=52&UILanguageID=FR"""
"Échelle arrière ","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Ladder.jpg&Size=52&UILanguageID=FR"""
"Siège en ""L"" à l'arrière avec table","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-LBenchWithTable_194.jpg&Size=52&UILanguageID=FR"""
