heading,image
"Large bow trolling motor battery storage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=largebowtrollingmotorbatterystorage-12102023-153101.jpg&Size=52&UILanguageID=EN"""
"Optional removable ski tow bar","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=optskipylon.jpg&Size=52&UILanguageID=EN"""
"Optional driver side swim platform","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=optSwimplatform.jpg&Size=52&UILanguageID=EN"""
"Cup holders with USB port","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=cupholderswithUSB-12102023-152119.jpg&Size=52&UILanguageID=EN"""
"Driver helm shown with optional Simrad® NSX7 multifunctions screen","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DriverConsole-OPT-SimradGo7-.jpg&Size=52&UILanguageID=EN"""
"Folding seats","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=3stdfishingseats.jpg&Size=52&UILanguageID=EN"""
"Black folding pedestal mount snack table with cup holders","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=fliptable-12102023-152625.jpg&Size=52&UILanguageID=EN"""
"Under helm glove box","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Glovebox-10032023-130047.jpg&Size=52&UILanguageID=EN"""
"Passenger console with open storage and cup-holder","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerConsole-05122023-090755.jpg&Size=52&UILanguageID=EN"""
"Electric-filled aerated stern livewell","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=Sternlivewell.jpg&Size=52&UILanguageID=EN"""
