heading,image
"Combo RSP: Module arrière amovible incluant 2 sièges repliables et 2 porte-verres, offert en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-ComboRSP-22102024-093132.jpg&Size=52&UILanguageID=FR"""
"Prise permettant la connexion d'un moteur électrique dans la proue du bateau, offert en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-TrollingMotorPlug.jpg&Size=52&UILanguageID=FR"""
"2 sièges de pêche pivotants repliables","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2Fishingseats-22102024-093358.jpg&Size=52&UILanguageID=FR"""
"Rangement pour l'ancre","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-AnchorStorage-22102018-144251.jpg&Size=52&UILanguageID=FR"""
"Rangement pour batterie","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-22102018-144447.jpg&Size=52&UILanguageID=FR"""
"Plate-forme de pêche surélevée à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontFishingPlatform-22102018-144653.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné avant de 61 L / 16 gal. U.S.","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontLivewell2.jpg&Size=52&UILanguageID=FR"""
"Rangement sous la plate-forme de pêche à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontStorage-22102018-145705.jpg&Size=52&UILanguageID=FR"""
"Réservoir d'essence portatif","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GasTank.jpg&Size=52&UILanguageID=FR"""
"Rangement pour cannes à pêche sans support dans les panneaux latéraux","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideRodSTorage-22102018-150113.jpg&Size=52&UILanguageID=FR"""
