heading,image
"Radio Jensen de 160 watts AM/FM/Bluetooth avec prise (1/8'') à la console, offerte en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Radio.jpg&Size=52&UILanguageID=FR"""
"2 sièges repliables","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-2Fishingseats-22102024-092046.jpg&Size=52&UILanguageID=FR"""
"Compartiments de rangements dans la plateforme avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage-22102024-092205.jpg&Size=52&UILanguageID=FR"""
"Tiroir sous la console conducteur","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DrawerUnderDriverConsol.jpg&Size=52&UILanguageID=FR"""
"Console conducteur démontrée avec Humminbird® Helix 7 intégré","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DriverConsole-OPT-Sonar-.jpg&Size=52&UILanguageID=FR"""
"Coffre à gants dans la console","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GloveBox-22102018-132317.jpg&Size=52&UILanguageID=FR"""
"Grand compartiment verrouillable avec tubes pour 10 cannes à pêche dans la plate-forme à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-BowPlatform-.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné, de 77 L/20 gal. U.S., à l'arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLivewell_170.jpg&Size=52&UILanguageID=FR"""
"Rangement sous la console passager","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-StorageUnderConsole-Passenger-.jpg&Size=52&UILanguageID=FR"""
"Prise pour moteur électrique ","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-TrollingMotorPlug-22102018-135636.jpg&Size=52&UILanguageID=FR"""
