heading,image
"Table sur poteau amovible à l’avant offerte en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Bowtable-05102022-154148.jpg&Size=52&UILanguageID=FR"""
"Ensemble Concert offert en option, incluant les contrôles pour radio Jensen, klaxon, lumières d'accostage et prise USB","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-ConcertPackageSwitches-05102022-150800.jpg&Size=52&UILanguageID=FR"""
"Lumières d'accostage","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-DockingLights-05102022-152412.jpg&Size=52&UILanguageID=FR"""
"Console rotomoulée","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-05102022-154742.jpg&Size=52&UILanguageID=FR"""
"Siège pivotant repliable","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FishingSeats-05102022-155038.jpg&Size=52&UILanguageID=FR"""
"Station de pêche arrière incluant vivier électrique oxygéné, règle à poisson et porte-verres","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FishingStation-06102022-090415.jpg&Size=52&UILanguageID=FR"""
"Rangement à réservoir d'essence portatif et à batterie sous la station de pêche arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Gastankstorage.jpg&Size=52&UILanguageID=FR"""
"Échelle arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Ladder-06102022-103030.jpg&Size=52&UILanguageID=FR"""
"Système de pompage pour vivier standard","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Livewellpumpingsystem.jpg&Size=52&UILanguageID=FR"""
"Rangement sous tous les fauteuils","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-StorageUnderFrontBenches-06102022-093120.jpg&Size=52&UILanguageID=FR"""
