heading,image
"Toilette chimique, incluant réservoir et système d'évacuation à pompe, offerte en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Toilet-05102022-113942.jpg&Size=52&UILanguageID=FR"""
"Rangement pour batteries","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage-05102022-114903.jpg&Size=52&UILanguageID=FR"""
"Glacière, vivier et rangement sous la plate-forme de pêche avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowPlatform-05102022-115550.jpg&Size=52&UILanguageID=FR"""
"Console conducteur (montrée avec l'écran multifonctions Simrad® NSX9 optionnel - écran de droite)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Console-05102022-130809.jpg&Size=52&UILanguageID=FR"""
"Console passager avec coffre à gants et rangement en-dessous avec filet extensible","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GloveBox-05102022-131711.jpg&Size=52&UILanguageID=FR"""
"2 sièges d'appoint repliables à l'arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearJumpSeat-05102022-131910.jpg&Size=52&UILanguageID=FR"""
"Rangement verrouillable pour 6 cannes à pêche dans le plancher","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-05102022-132215.jpg&Size=52&UILanguageID=FR"""
"2 sièges bimode, de luxe","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Seat-05102022-133907.jpg&Size=52&UILanguageID=FR"""
"Rangement verrouillable dans les panneaux latéraux","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideStorage-05102022-134141.jpg&Size=52&UILanguageID=FR"""
"Échelle arrière télescopique avec plate-forme d'embarquement et tapis antidérapant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SwimPlatformwithSSLadder-05102022-134414.jpg&Size=52&UILanguageID=FR"""
