heading,image
"Rangement pour batterie","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage2.jpg&Size=52&UILanguageID=FR"""
"Plusieurs rangements à l'avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage-27102021-150644.jpg&Size=52&UILanguageID=FR"""
"Échelle d'embarquement d'urgence","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-EmergencyLadder-07102019-093426.jpg&Size=52&UILanguageID=FR"""
"2 sièges repliables avec charnières protège-doigts","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Fishingseat-22102024-093807.jpg&Size=52&UILanguageID=FR"""
"Rangement dans le pont avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontDeckStorage.jpg&Size=52&UILanguageID=FR"""
"Rangement pour réservoir à essence","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-GasStorage.jpg&Size=52&UILanguageID=FR"""
"Vivier latéral (34"", 49 L/13 gal. U.S.)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideLivewell.jpg&Size=52&UILanguageID=FR"""
"Rangement pour cannes à pêche sans support dans les panneaux latéraux","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideRodStorage2-22102018-152510.jpg&Size=52&UILanguageID=FR"""
"Compartiment de rangement","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SideStorage-22102018-152816.jpg&Size=52&UILanguageID=FR"""
"Panneau d'interrupteurs","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Switchpanel-27102021-162302.jpg&Size=52&UILanguageID=FR"""
