heading,image
"Auvent bimini, offert en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Bimini-15102020-104858.jpg&Size=52&UILanguageID=FR"""
"Échelle déployable (en pochette)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Emergencyladder.jpg&Size=52&UILanguageID=FR"""
"Peinture intérieure antidérapante et antireflet","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Bottom.jpg&Size=52&UILanguageID=FR"""
"Règle à poisson imprimée","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=FishRuler.jpg&Size=52&UILanguageID=FR"""
"Banc de proue","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Frontseat-15102020-105649.jpg&Size=52&UILanguageID=FR"""
"Réservoir d'essence portatif","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Gas.jpg&Size=52&UILanguageID=FR"""
"Poignées arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Handle.jpg&Size=52&UILanguageID=FR"""
"Recouvrement de bancs en polyéthylène texturé","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RearSeat.jpg&Size=52&UILanguageID=FR"""
"Espace de rangement","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Storage-23102018-082554.jpg&Size=52&UILanguageID=FR"""
"Oeillet avant en acier inoxydable","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-U-bolt.jpg&Size=52&UILanguageID=FR"""
