heading,image
"Combo RSP: Module arrière amovible incluant 2 sièges repliables et 2 porte-verres, offert en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-ComboRSP-22102024-091533.jpg&Size=52&UILanguageID=FR"""
"Radio Jensen de 160 watts AM/FM/Bluetooth avec prise (1/8'') à la console, offerte en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Radio.jpg&Size=52&UILanguageID=FR"""
"Sièges repliables de luxe, offerts en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Seatupgrade-withExtremefishingpackage-.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné arrière de 77 L / 20 gal. U.S.","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowLivewell-22102018-115809.jpg&Size=52&UILanguageID=FR"""
"Rangement sous la plate-forme de pêche avant","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BowStorage-04102019-090850.jpg&Size=52&UILanguageID=FR"""
"Console conducteur démontrée avec Humminbird® Helix 7 intégré","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-ConsoleWithOptionalIntegratedSonar-28102021-144705.jpg&Size=52&UILanguageID=FR"""
"Tiroir(s) de rangement sous la(les) console(s)","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-DrawerUnderConsoles.jpg&Size=52&UILanguageID=FR"""
"Console passager avec coffre à gants","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-PassengerConsole-28102021-144845.jpg&Size=52&UILanguageID=FR"""
"Grand compartiment verrouillable avec tubes pour 10 cannes à pêche","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodStorage-FishingPlatform-.jpg&Size=52&UILanguageID=FR"""
"Vivier électrique oxygéné, de 77 L/20 gal. U.S., à l'arrière","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-SternLivewell_170.jpg&Size=52&UILanguageID=FR"""
