heading,image
"Panneau de contrôle pour ensemble électrique, offert en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Controls.jpg&Size=52&UILanguageID=FR"""
"Vivier avant offert en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-Livewell.jpg&Size=52&UILanguageID=FR"""
"Pompe de cale pour fonctionnement du vivier, offert en option","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=OPT-LivewellPump.jpg&Size=52&UILanguageID=FR"""
"Support à batterie","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-BatteryStorage2-23102018-075642.jpg&Size=52&UILanguageID=FR"""
"Banc de proue","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontSeat.jpg&Size=52&UILanguageID=FR"""
"Rangement sous le banc de proue","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FrontStorage-07102019-100152.jpg&Size=52&UILanguageID=FR"""
"Rangement pour réservoir d'essence portatif","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-FuelTankStorage.jpg&Size=52&UILanguageID=FR"""
"Support pour cannes à pêche","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-RodHolder-23102018-080150.jpg&Size=52&UILanguageID=FR"""
Rangement,"""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-Storage-07102019-100415.jpg&Size=52&UILanguageID=FR"""
"Oeillet avant en acier inoxydable","""https:\/\/www.princecraft.com\/AttachmentImage.ashx?file=STD-U-bolt.jpg&Size=52&UILanguageID=FR"""
